env,lag,acf_p50,acf_p25,acf_p75,pacf_p50,bo_cap_pct
E2,104,0.030707,-0.015391,0.230604,,0.646297
E2,105,0.024686,-0.019523,0.211135,,0.646591
E2,106,0.022408,-0.018138,0.213789,,0.646885
E2,107,0.026408,-0.019039,0.195703,,0.64718
E2,108,0.068925,-0.006008,0.272736,,0.647475
E2,109,0.021985,-0.012192,0.183974,,0.64777
E2,110,0.019218,-0.014278,0.178909,,0.648065
E2,111,0.020824,-0.015657,0.157868,,0.64836
E2,112,0.024995,-0.015686,0.164799,,0.648656
E2,113,0.012898,-0.018323,0.142627,,0.648952
E2,114,0.024266,-0.014819,0.15837,,0.649249
E2,115,0.011533,-0.021076,0.138734,,0.649545
E2,116,0.012053,-0.015888,0.136953,,0.649842
E2,117,0.011372,-0.018881,0.128552,,0.650139
E2,118,0.008761,-0.017457,0.141289,,0.650437
E2,119,0.006648,-0.016097,0.148234,,0.650734
E2,120,0.039352,-0.008531,0.250863,,0.651032
E2,121,0.009232,-0.016946,0.145617,,0.65133
E2,122,0.007354,-0.018138,0.151789,,0.651629
E2,123,0.008015,-0.023485,0.135051,,0.651928
E2,124,0.008773,-0.015228,0.158426,,0.652227
E2,125,0.002677,-0.024392,0.143899,,0.652526
E2,126,0.007687,-0.016636,0.136568,,0.652826
E2,127,0.003824,-0.024139,0.134681,,0.653126
E2,128,0.010622,-0.01677,0.145204,,0.653426
E2,129,0.003765,-0.023703,0.124554,,0.653726
E2,130,0.005366,-0.020133,0.138776,,0.654027
E2,131,0.005495,-0.021098,0.145383,,0.654328
E2,132,0.038691,-0.010743,0.229737,,0.654629
E2,133,0.00531,-0.017907,0.145557,,0.654931
E2,134,0.000574,-0.019349,0.135554,,0.655232
E2,135,0.003193,-0.01872,0.141924,,0.655534
E2,136,0.005202,-0.01823,0.131034,,0.655837
E2,137,-0.001284,-0.025249,0.127664,,0.65614
E2,138,0.002245,-0.022146,0.126821,,0.656442
E2,139,-0.000421,-0.027882,0.133779,,0.656746
E2,140,0.00322,-0.019615,0.142025,,0.657049
E2,141,0.005563,-0.024663,0.121642,,0.657353
E2,142,0.007271,-0.019026,0.127625,,0.657657
E2,143,0.010182,-0.017623,0.152135,,0.657961
E2,144,0.040696,-0.008531,0.233138,,0.658266
E2,145,0.020158,-0.013559,0.142902,,0.658571
E2,146,0.008233,-0.016347,0.132887,,0.658876
E2,147,0.007365,-0.018634,0.119407,,0.659181
E2,148,0.011571,-0.017825,0.14429,,0.659487
E2,149,0.006973,-0.024564,0.134151,,0.659793
E2,150,0.015236,-0.016694,0.144393,,0.660099
E2,151,0.00565,-0.023935,0.132899,,0.660406
E2,152,0.009049,-0.017163,0.152575,,0.660713
E2,153,0.016066,-0.018008,0.148491,,0.66102
E2,154,0.007321,-0.019639,0.158561,,0.661328
E2,155,0.012543,-0.017029,0.160051,,0.661635
E2,156,0.041652,-0.011399,0.199485,,0.661943
E2,157,0.018031,-0.016276,0.14671,,0.662252
E2,158,0.006411,-0.021776,0.135591,,0.66256
E2,159,0.006281,-0.023813,0.117907,,0.662869
E2,160,0.008837,-0.021033,0.117241,,0.663178
E2,161,0.004617,-0.024532,0.108673,,0.663488
E2,162,0.005152,-0.024741,0.09758,,0.663798
E2,163,0.002044,-0.025838,0.094052,,0.664108
E2,164,0.006536,-0.023122,0.095846,,0.664418
E2,165,0.006976,-0.025428,0.089839,,0.664729
E2,166,0.007008,-0.025509,0.101946,,0.665039
E2,167,0.005145,-0.022267,0.084395,,0.665351
E2,168,0.026956,-0.016868,0.158251,,0.665662
E2,169,0.008483,-0.021341,0.100531,,0.665974
E2,170,0.001863,-0.025667,0.097252,,0.666286
E2,171,0.001808,-0.024561,0.090993,,0.666598
E2,172,0.003452,-0.021283,0.090827,,0.666911
E2,173,0.002199,-0.026372,0.082334,,0.667224
E2,174,0.011288,-0.022562,0.079321,,0.667537
E2,175,0.001622,-0.027586,0.074203,,0.667851
